UniProt Accession	Ensembl Gene ID	Gene Symbol	
Q9UK05	ENSG00000263761	GDF2	
Q8IYP9	ENSG00000184307	ZDHHC23	
P0C0L5	ENSG00000233312; ENSG00000224389; ENSG00000224639; ENSG00000228454; ENSG00000228267; ENSG00000236625	C4B_2; C4B	
Q15619	ENSG00000221888	OR1C1	
Q99445	ENSG00000104499	GML	
Q53EU6	ENSG00000138678	GPAT3	
Q86X53	ENSG00000104714; ENSG00000282665	ERICH1	
Q7LC44	ENSG00000198576	ARC	
Q6SJ96	ENSG00000182521	TBPL2	
A0A0B4J1V0	-	IGHV3-15	
Q9UG56	ENSG00000241878	PISD	
O60673	ENSG00000009413	REV3L	
Q96DL1	ENSG00000204361	NXPE2	
Q6P3V2	ENSG00000196967	ZNF585A	
Q9P291	ENSG00000126947	ARMCX1	
Q5BLP8	ENSG00000243449	C4orf48	
P49589	ENSG00000278191; ENSG00000110619	CARS	
P55773	ENSG00000276114; ENSG00000274736	CCL23	
Q9BQE5	ENSG00000128335	APOL2	
P05014	ENSG00000236637	IFNA4	
A0A1W2PPM1	ENSG00000283755	CPHXL	
